model,prompt,latency,tokens_per_second,memory_gb
llama3.2,Explain recursion,17.112151861190796,25.420531767635293,0.8172378540039062
llama3.2,Explain what is Earth,10.141761302947998,31.94711355569175,0.8319053649902344
llama3.2,Write python code for factorial,3.2302114963531494,21.670407674243233,0.839630126953125
llama3.2,Solve 2x + 3 = 11,2.2298526763916016,24.66530662868825,0.8417129516601562
llama3.2,Explain neural networks,13.822473526000977,29.878877989754873,0.8394889831542969
llama3.2,Summarize artificial intelligence,10.827574968338013,31.031879343484665,0.8441238403320312
llama3.2,What is machine learning,14.872642517089844,31.130984252998505,0.8413810729980469
llama3.2,Explain binary search,22.177201986312866,27.731180893764705,0.8445320129394531
llama3.2,Write quicksort algorithm,14.590247392654419,25.70210017061101,0.8455467224121094
llama3.2,Explain gravity,12.679579019546509,29.969449254916263,0.8404579162597656
mistral,Explain recursion,48.62794733047485,4.421325838388015,2.2998695373535156
mistral,Explain what is Earth,35.35698199272156,6.476797144256854,2.2802352905273438
mistral,Write python code for factorial,11.755151987075806,4.083315983729821,2.28094482421875
mistral,Solve 2x + 3 = 11,13.103746175765991,5.799868143092855,2.2820777893066406
mistral,Explain neural networks,39.683592081069946,7.862191491198996,2.2830238342285156
mistral,Summarize artificial intelligence,9.990205526351929,8.308137383266496,2.2837600708007812
mistral,What is machine learning,34.67860388755798,8.247160148872409,2.283782958984375
mistral,Explain binary search,38.98194861412048,7.9780516638243695,2.281940460205078
mistral,Write quicksort algorithm,26.500130653381348,7.245247297507241,2.2822914123535156
mistral,Explain gravity,39.200359582901,8.622369886306704,2.2835693359375
phi,Explain recursion,5.385884046554565,14.6679726702504,0.505767822265625
phi,Explain what is Earth,1.6963727474212646,42.443501942276875,0.508575439453125
phi,Write python code for factorial,1.186056137084961,14.333217010943418,0.512054443359375
phi,Solve 2x + 3 = 11,1.7152423858642578,40.810558657416315,0.5141372680664062
phi,Explain neural networks,1.3085787296295166,42.030333181077715,0.5145378112792969
phi,Summarize artificial intelligence,1.7991974353790283,42.24105620959239,0.5113945007324219
phi,What is machine learning,1.5096347332000732,45.04400866284778,0.5142898559570312
phi,Explain binary search,4.854163408279419,41.20174439510493,0.5168342590332031
phi,Write quicksort algorithm,4.2010252475738525,26.898195878555832,0.51904296875
phi,Explain gravity,2.2147836685180664,44.248113887155746,0.513916015625
